actor,character,first_appearance,company,purchase_date,shares,Date,Open,High,Low,Close,Volume,OpenInt,Unnamed: 0,make,fuel_type,aspiration,num_of_doors,body_style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine_type,num_of_cylinders,engine_size,fuel_system,compression_ratio,horsepower,peak_rpm,city_mpg,highway_mpg,price
,,,,,,2021-06-22,6.55,7.27,6.55,7.23,116364.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-06-23,7.21,7.21,6.86,7.03,367453.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-06-26,7.01,7.25,6.99,7.08,58372.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-06-27,7.07,7.21,6.86,6.91,34853.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-06-28,6.9,7.27,6.9,6.99,42337.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-06-29,7.0,7.11,6.63,7.04,83634.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-06-30,7.08,7.1,6.83,6.93,25174.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-07-03,6.93,7.07,6.85,7.01,18632.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-07-05,7.0,7.0,6.7,6.81,44562.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-07-06,6.89,7.05,6.1,6.41,114377.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-07-07,6.42,6.56,6.15,6.28,112206.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-07-10,6.29,7.11,6.03,6.61,151256.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-07-11,6.75,6.75,6.39,6.65,71178.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-07-12,6.59,6.73,6.36,6.4,88532.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-07-13,6.39,6.75,6.34,6.66,73757.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-07-14,6.68,7.04,6.54,6.76,123362.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-07-17,6.82,6.99,6.69,6.91,42335.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-07-18,6.9,7.1,6.73,6.86,102887.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-07-19,6.89,6.9999,6.7,6.74,50778.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-07-20,6.74,6.89,6.58,6.64,51984.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-07-21,6.68,6.81,6.45,6.75,133998.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-07-24,6.75,6.86,6.51,6.69,96703.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-07-25,6.8,6.8,6.58,6.66,43423.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-07-26,6.65,6.69,6.39,6.46,117810.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-07-27,6.47,6.55,6.26,6.43,92266.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-07-28,6.42,6.56,6.295,6.52,73629.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-07-31,6.51,6.51,6.07,6.27,212428.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-08-01,6.34,6.58,6.09,6.47,91923.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-08-02,6.41,6.41,5.99,6.06,148416.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-08-03,6.5,7.37,6.072,7.29,322751.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-08-04,7.3,8.38,7.23,8.14,440417.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-08-07,8.09,8.35,8.0,8.14,213035.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-08-08,8.11,8.55,8.11,8.28,153115.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-08-09,8.2,8.23,7.9,8.21,143406.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-08-10,8.35,8.75,8.155,8.43,218634.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-08-11,8.42,8.75,8.2,8.67,75340.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-08-14,8.75,9.23,8.46,8.98,122555.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-08-15,8.98,8.99,8.72,8.77,60113.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-08-16,8.76,8.98,8.518,8.69,123155.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-08-17,8.67,9.0,8.51,8.78,119261.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-08-18,8.74,9.11,8.7,9.05,55617.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-08-21,9.08,9.15,8.79,8.98,143331.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-08-22,9.02,9.206,9.02,9.12,61920.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-08-23,9.1,9.142,8.84,8.93,48732.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-08-24,8.93,9.19,8.9,9.12,60469.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-08-25,9.15,9.205,8.97,9.01,50027.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-08-28,9.07,9.3299,8.9578,9.14,46915.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-08-29,9.15,9.16,8.9,8.98,65374.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-08-30,9.0,9.29,8.87,9.21,52371.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-08-31,9.24,9.48,9.14,9.29,82520.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-09-01,9.29,9.84,9.29,9.8,67533.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-09-05,9.8,9.95,9.58,9.82,81607.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-09-06,9.88,10.42,9.6938,10.36,104792.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-09-07,10.36,10.36,10.01,10.16,57762.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-09-08,10.13,10.43,10.13,10.35,47158.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-09-11,10.28,10.85,10.28,10.77,59999.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-09-12,10.75,13.0551,10.75,12.58,484473.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-09-13,12.52,12.57,11.53,11.65,156226.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-09-14,12.19,12.29,11.331,11.4,216706.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-09-15,11.42,11.519,11.21,11.4,232155.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-09-18,11.43,11.43,10.7252,11.0,118565.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-09-19,11.0,11.02,10.17,10.2,130699.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-09-20,10.18,10.89,10.13,10.74,163665.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-09-21,10.7,10.835,9.52,9.54,141139.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-09-22,9.63,9.939,9.44,9.77,100351.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-09-25,9.73,10.22,9.73,10.13,201431.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-09-26,10.13,10.5,10.0,10.15,116673.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-09-27,10.15,10.4,10.115,10.23,99666.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-09-28,10.23,10.35,10.12,10.24,87334.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-09-29,10.24,10.36,9.81,9.93,79414.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-10-02,9.95,10.05,9.58,9.99,91841.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-10-03,10.0,10.2,9.84,9.99,110859.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-10-04,10.0,10.01,9.7248,9.95,43541.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-10-05,9.9,10.1,9.56,9.59,123688.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-10-06,9.5,9.6,9.15,9.17,103663.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-10-09,9.18,9.24,8.26,8.37,168486.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-10-10,8.48,8.49,8.16,8.33,147255.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-10-11,8.26,8.37,7.68,7.8,361558.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-10-12,7.8,7.99,7.41,7.72,188326.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-10-13,7.73,8.44,7.69,8.35,133621.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-10-16,8.27,8.55,7.95,8.03,257943.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-10-17,7.97,8.08,7.83,7.93,105874.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-10-18,7.93,8.34,7.93,8.2,101933.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-10-19,8.22,8.35,8.135,8.24,58674.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-10-20,8.3,8.7,8.2323,8.63,106996.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-10-23,8.64,8.645,8.23,8.45,115156.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-10-24,8.45,8.6,8.41,8.42,37567.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-10-25,8.41,8.42,8.11,8.3,41406.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-10-26,8.32,8.45,8.13,8.32,72610.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-10-27,8.41,8.61,8.2,8.56,59722.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-10-30,8.43,8.49,8.11,8.2,68413.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-10-31,8.25,8.36,7.92,7.92,143119.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-11-01,7.96,7.97,7.53,7.55,118113.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-11-02,8.9,10.97,8.575,10.02,567281.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-11-03,10.36,10.48,9.77,10.08,369194.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-11-06,10.08,11.36,10.0,11.14,270448.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-11-07,11.07,11.07,11.07,11.07,177182.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-11-08,11.0,11.94,10.7636,11.11,972312.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-11-09,11.02,11.34,10.7203,10.88,152757.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-11-10,10.9,11.4,10.735,11.28,143945.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
